unserved_medicaid/km2,unserved_commercial/km2,Cholesterol screening among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years
1618.6,0.0,89.3,76.4,65.2,78.6,7.6
8485.2,1558.4,85.1,74.5,52.2,77.5,11.8
4911.7,0.0,81.8,66.4,50.6,72.8,10.3
13117.1,0.0,81.7,63.8,51.9,71.8,10.4
5350.6,4357.0,89.5,77.0,63.2,80.3,9.3
14225.4,0.0,83.1,71.2,50.6,74.9,11.0
3344.6,0.0,85.6,73.9,53.7,77.4,12.0
1077.0,0.0,90.7,79.9,66.3,81.5,9.1
1693.9,0.0,87.3,75.3,58.5,77.4,10.9
9880.1,0.0,83.6,74.6,48.1,76.8,13.4
12188.6,0.0,82.3,75.4,43.1,76.7,15.9
2238.3,0.0,79.7,66.8,44.8,73.7,13.0
2012.7,4425.8,90.6,79.4,60.0,84.5,11.3
1807.5,4486.3,90.0,76.7,62.7,83.6,9.8
1866.3,0.0,87.0,76.1,56.1,79.4,11.5
1726.5,8117.0,89.7,77.8,59.3,84.1,10.8
30.3,178.3,84.1,78.4,57.1,78.7,13.4
0.9,11.2,86.5,76.9,63.9,78.5,11.2
139.2,0.0,,,,,
3717.3,0.0,83.7,70.8,53.1,75.8,11.3
1177.0,5527.7,90.1,77.4,61.2,83.7,10.5
1514.1,0.0,79.9,67.0,45.9,73.1,12.6
697.8,3228.2,89.1,77.5,57.7,83.5,11.4
2888.2,0.0,84.3,71.3,53.6,75.7,11.5
0.0,18.2,,,,,
10558.4,0.0,,,,,
2197.3,0.0,,,,,
0.0,51.7,,,,,
8850.4,0.0,,,,,
9692.7,0.0,,,,,
13114.5,0.0,,,,,
13954.7,0.0,,,,,
13574.8,0.0,,,,,
8847.6,0.0,,,,,
0.0,12.3,,,,,
6464.3,0.0,78.8,66.3,41.4,72.8,14.5
2472.5,4913.4,86.6,73.6,54.7,80.6,11.3
538.3,0.0,88.0,75.9,57.4,79.1,10.9
1042.2,0.0,84.9,70.5,54.6,76.0,11.3
1622.7,0.0,84.5,72.8,53.7,75.9,11.6
967.9,0.0,85.7,73.4,54.1,77.3,11.9
3946.8,0.0,83.7,69.9,53.2,75.2,11.1
335.6,0.0,84.8,70.6,55.0,75.7,11.3
2295.5,0.0,88.9,74.6,66.5,78.2,9.3
2273.7,0.0,87.7,71.2,67.1,76.7,8.3
498.3,0.0,85.8,75.4,53.5,77.3,12.1
1067.2,0.0,85.3,72.3,54.4,76.2,10.6
4339.0,0.0,83.8,71.5,51.6,76.7,12.1
2764.0,0.0,85.3,71.5,54.7,76.6,10.7
5577.6,0.0,84.9,70.6,55.0,75.6,10.4
5983.8,0.0,86.0,72.4,55.0,77.3,11.7
2843.2,0.0,86.4,71.8,56.8,77.3,11.0
2446.4,3550.1,85.6,72.6,53.9,78.6,11.6
648.4,4445.0,,,,,
3077.5,6071.3,87.2,73.3,58.8,78.8,10.7
0.0,7041.9,87.5,74.0,58.0,79.4,11.0
1069.4,0.0,87.2,74.8,55.9,80.2,11.5
1736.1,2039.9,84.5,74.0,49.0,78.9,13.2
2366.3,2627.1,85.9,74.1,52.0,80.5,12.4
6911.0,0.0,,,,,
3414.5,9894.3,,,,,
3826.0,11010.7,,,,,
3880.3,0.0,,,,,
3346.6,2595.3,87.5,76.0,55.2,82.4,11.7
4248.5,6059.8,88.1,75.6,56.3,81.8,11.3
4017.7,4216.7,86.5,76.9,50.1,82.1,13.4
0.4,5.6,,,,,
5.4,0.0,,,,,
1520.6,5182.5,86.3,77.2,49.1,81.8,13.7
1154.0,5252.5,88.5,76.0,59.0,81.6,10.7
3585.4,0.0,87.1,73.3,60.4,76.3,9.2
4979.9,0.0,87.5,74.1,57.4,80.7,10.7
3712.9,0.0,88.4,74.8,57.8,81.4,10.9
1011.7,0.0,83.8,72.9,48.9,78.5,12.9
0.0,4.9,88.2,79.1,67.1,78.1,11.6
0.3,15.0,87.2,76.4,66.2,76.6,11.3
0.0,15.1,88.3,77.8,67.6,77.4,11.4
18.3,0.0,88.0,74.4,60.1,79.1,10.2
518.2,0.0,91.4,77.4,66.7,84.0,8.9
1109.1,0.0,92.7,80.7,67.6,85.6,9.5
208.1,0.0,91.3,78.8,64.1,84.5,10.1
197.9,0.0,92.2,80.1,66.6,85.2,9.4
49.7,0.0,91.2,77.4,65.1,83.9,9.5
114.9,49.3,80.7,74.5,56.3,75.9,13.3
1257.8,0.0,89.9,78.3,60.1,83.9,10.9
3154.1,5936.3,87.3,75.9,54.8,81.6,11.8
1024.6,0.0,89.8,77.0,60.7,83.6,10.3
2539.7,4966.3,89.1,75.1,63.0,82.3,9.6
413.4,0.0,87.8,74.0,62.6,77.0,9.1
583.1,0.0,89.0,77.1,58.7,83.2,10.8
1265.6,0.0,89.7,78.0,62.0,83.2,10.1
4134.7,6415.8,87.1,74.2,56.6,79.8,11.1
3441.6,5057.1,85.8,74.9,52.8,79.2,12.2
2900.4,7080.2,89.4,77.2,58.8,83.6,11.1
449.0,5033.4,89.4,77.2,58.5,83.4,10.8
2993.6,0.0,90.8,78.0,63.3,84.3,9.9
1271.7,0.0,92.9,80.4,70.3,85.6,8.4
2540.0,0.0,87.1,72.7,64.0,76.5,10.5
500.7,4559.9,90.5,78.5,61.2,84.1,10.7
2199.5,0.0,86.2,72.7,61.5,76.5,10.9
3013.1,0.0,87.1,72.3,63.4,76.4,10.5
1558.4,7204.5,87.7,72.4,62.0,77.5,9.9
3048.5,6220.1,85.9,73.3,54.4,77.6,12.0
1509.8,6592.0,87.2,73.2,60.1,77.3,10.6
1586.9,0.0,90.5,78.0,62.4,84.1,10.2
14260.1,0.0,,,,,
32865.5,0.0,,,,,
328.0,0.0,,,,,
11256.9,0.0,,,,,
20740.0,0.0,,,,,
0.0,600.8,86.4,74.0,66.7,76.4,10.4
40.1,237.2,85.2,79.1,64.3,82.4,14.4
